id,owner,liquidity,user,eth_in_lp,donut_in_lp,percent_of_pool
"11151,12344,23168",0x7f25555a0c85b53cb8934960d0e4ae2df65cecab,7187459392588530940085,MemeyCurmudgeon,0.00805648158904958,716256.4209517793,33.386785762471
"14528,21402,24418,26502",0xfedd14d3a32faabfbd6e290faa73aec58e894650,4652732349344334526039,DBRiMatt,0.0022637518588347334,870602.425396973,21.61261297947073
10320,0xdd4b43ffa5ceef9e5bf053ea9a74820b68e506d0,2442176000488968169482,,0.0,710686.8895149705,11.34425983771833
10151,0x439cee4cc4ecbd75dc08d9a17e92bddcc11cdb8c,2228164216679413715045,r/EthTrader Multi-Sig Wallet,2.0527349748329944,2418585.8561183736,10.350144227957568
"12435,15863,23022",0x93d93069fbc8d0868b93c6be9383ed9f85392474,1131238918076244324397,Paper_cobbler,0.0,310023.5664920683,5.254767970296514
24576,0x4898c9503caedb585d4ffb41625a590baa348ee7,997427046521611394169,,0.10381413565917327,412788.60931029543,4.633192522833589
15860,0xe1e21819b7f2918980bb85f9f1892e835215a026,869290775881109380806,Humble-Grape1012,0.0,280260.1231795051,4.037981060395578
12117,0x0eafde159a21ca316e1fa7f64e7755e15b9c1349,313157654672644511639,Yinyangkarma060910,0.0,47336.76567084633,1.4546624829928978
"11043,17320",0xeb9a6e724925b178d9627ce05208cfe6a5c11447,290199853064243527036,Kappatalizable,0.0,80458.94659607267,1.3480201825623213
24257,0x230c1f68abe6033cba3fe0d2c0d7097e9923c3bc,285920947173035272149,,0.0,220.38662887628107,1.3281440474101898
12160,0x35162a2ed27a8e2dc96471ab6fb63e0fd5058d46,255600824181818749721,Soaring_Eagle590,0.0,45618.98710584587,1.187302702046436
10319,0xe86b79c26338fc514013eecb042a9f42ff9d12af,184332395022271176408,,0.0,53108.04113277824,0.8562505672084657
20941,0x12985951fa7051f0b1ae2c0749c8285bd742a82b,152647729008161600539,Haruhi4,0.008174684557773908,165693.03828920034,0.7090707226504093
12264,0xeca23ebdfdf663d499891a833d22956a6f65dfa2,145892635598707234227,Kindly-Wolf6919,0.006540712858722367,158360.65307644688,0.6776923392539768
26751,0x88aa8b8cc105bc1c644518608086bc1553947c3e,120544416188521269336,,0.02541504317663133,10072.712444596473,0.5599462032854509
26205,0xb127e23bf80e0d8688d994c1a093e3657856a040,102051425420334995975,fairysquirt,0.0,40431.35535478562,0.4740435933143317
11918,0x8d23dbae8e5c52d9ac2bb5f393c4ff2e228abae6,37673432651864763160,BuddhaIvan,0.03470730399833218,40893.0502882849,0.17499852954740652
11084,0xdf2ffb4a4c766a322f1fbe6a6e344ca018bdec9e,22040020818175638771,Huelino,0.0,7602.207437688511,0.10237907625824089
24522,0x7b34db486502f78afb65769f7b53f57337b87084,19963545041464078951,vanboiDallas,0.018391762519792437,21669.654020035858,0.09273354671695165
12368,0x1b036f17f5dcb000005e14773f8636b4dde76e39,19420562577934090692,,0.0,2191.872603788431,0.09021131484161779
10485,0xdb721582dc092c59692221d89103061c8b955d7c,17531494615859564964,whaterloowhorks,0.016151193834672874,19029.75759018485,0.08143632163531662
21805,0xd92eac431b6b63c95fdecf91784eeaa47d391dbd,11859946881270124613,hnr01,0.0017070566412243037,12873.500611339621,0.055091164214097425
11096,0x1a86440fd49a1e85c46c66ba64c46b98b0e3b6ab,8779210294839764061,evil_betty_,0.0,5177.438882606534,0.040780698334065016
22535,0x7ea45e32a4f75f79615e1c77fa017f2ac4fe66ab,7620914543019724420,Savi321,0.0006035474358680711,8196.203569953526,0.03540024746773066
16655,0x527a12dbc1fe652568457d64826541f25241d5a8,7595209121609858683,,0.0,4999.9999999964275,0.03528084207694262
10298,0x5ed61dee19b3355cf125a5cb95bec8f344523628,5917124691670884477,DrRobbe,0.005451253868147151,6422.809405624279,0.027485897814512036
11875,0xff98aa744a746933f366ca2cf0eb1338f9e5eb36,4827465707478737818,PineapplePie135,0.004447386607938818,5240.02683177657,0.02242427463554993
"10302,12674",0x6b82a00010676e509e520ff4594eeb2005de93de,4439414593844977513,CapnPratt,0.0,1344.7032428599707,0.020621721231333386
10344,0x0b3ab5a8d926d07275291c074225f258d00b4f08,1286606737294797967,The_Nutcrack,0.0,936.0580245253907,0.005976473904382358
12420,0x3808699baf43ba988d1e9acd64237dea36c61593,65162551889730903,,6.003213242189228e-05,70.73142328079953,0.0003026894540679727
